restaurant_id,state,chain,period,post,fte,wage_st,treated
1,PA,BK,before,0,35.0,4.5,1
1,PA,BK,after,1,44.0,5.05,1
2,PA,BK,before,0,16.0,4.75,1
2,PA,BK,after,1,15.5,5.25,1
3,PA,KFC,before,0,15.5,4.25,1
3,PA,KFC,after,1,10.5,5.05,1
4,PA,Roys,before,0,19.0,4.75,1
4,PA,Roys,after,1,24.0,5.05,1
5,PA,Roys,before,0,24.0,4.5,1
5,PA,Roys,after,1,29.0,5.15,1
6,PA,Roys,before,0,5.0,5.0,1
6,PA,Roys,after,1,8.0,5.05,1
8,PA,Wendys,before,0,,4.8,1
8,PA,Wendys,after,1,30.5,5.05,1
9,PA,BK,before,0,36.0,4.37,1
9,PA,BK,after,1,20.0,5.05,1
10,PA,BK,before,0,29.0,4.25,1
10,PA,BK,after,1,26.5,5.05,1
11,PA,BK,before,0,29.0,4.25,1
11,PA,BK,after,1,27.0,5.05,1
12,PA,BK,before,0,21.25,4.37,1
12,PA,BK,after,1,26.5,5.05,1
13,PA,KFC,before,0,15.5,4.5,1
13,PA,KFC,after,1,10.5,5.0,1
14,PA,KFC,before,0,16.0,5.12,1
14,PA,KFC,after,1,15.5,5.05,1
15,PA,Roys,before,0,19.5,4.6,1
15,PA,Roys,after,1,18.0,5.05,1
16,PA,Roys,before,0,21.0,4.5,1
16,PA,Roys,after,1,18.5,5.05,1
17,PA,Roys,before,0,14.0,4.37,1
17,PA,Roys,after,1,25.5,5.05,1
18,PA,Roys,before,0,30.5,4.25,1
18,PA,Roys,after,1,32.0,5.05,1
19,PA,BK,before,0,23.5,4.25,1
19,PA,BK,after,1,33.0,5.05,1
21,PA,KFC,before,0,14.0,4.45,1
21,PA,KFC,after,1,7.5,5.05,1
22,PA,Roys,before,0,14.5,4.35,1
22,PA,Roys,after,1,12.5,5.05,1
23,PA,BK,before,0,15.5,4.5,1
23,PA,BK,after,1,24.0,5.05,1
24,PA,BK,before,0,26.5,4.75,1
24,PA,BK,after,1,29.0,5.05,1
26,PA,BK,before,0,41.5,5.56,1
26,PA,BK,after,1,24.0,5.05,1
27,PA,KFC,before,0,13.0,5.0,1
27,PA,KFC,after,1,7.5,5.05,1
28,PA,KFC,before,0,8.0,4.5,1
28,PA,KFC,after,1,10.0,,1
29,PA,KFC,before,0,5.5,4.5,1
29,PA,KFC,after,1,9.5,5.05,1
30,PA,KFC,before,0,10.0,5.0,1
